Source,Target,Type,Id,Label,timeset,Weight,From
10.3.32.16,10.3.32.16-entPhysicalTable-149,Directed,10000,,,1,Inventory
10.3.32.16-entPhysicalTable-149,10.3.32.16-entPhysicalTable-214,Directed,10001,,,1,Inventory
10.3.32.16-entPhysicalTable-149,10.3.32.16-entPhysicalTable-279,Directed,10002,,,1,Inventory
10.3.32.16-entPhysicalTable-149,10.3.32.16-entPhysicalTable-343,Directed,10003,,,1,Inventory
10.3.32.16-entPhysicalTable-149,10.3.32.16-entPhysicalTable-278,Directed,10004,,,1,Inventory
10.3.32.16-entPhysicalTable-149,10.3.32.16-entPhysicalTable-342,Directed,10005,,,1,Inventory
10.3.32.16-entPhysicalTable-214,10.3.32.16-entPhysicalTable-22,Directed,10006,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4966,Directed,10007,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4989,Directed,10008,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4968,Directed,10009,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4977,Directed,10010,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4956,Directed,10011,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4951,Directed,10012,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4994,Directed,10013,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-21594,Directed,10014,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4972,Directed,10015,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4962,Directed,10016,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4984,Directed,10017,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4950,Directed,10018,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4965,Directed,10019,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4987,Directed,10020,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4979,Directed,10021,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4954,Directed,10022,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-21592,Directed,10023,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4997,Directed,10024,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4960,Directed,10025,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4958,Directed,10026,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4992,Directed,10027,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4985,Directed,10028,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4953,Directed,10029,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4980,Directed,10030,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4996,Directed,10031,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4978,Directed,10032,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4991,Directed,10033,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4970,Directed,10034,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4990,Directed,10035,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4988,Directed,10036,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4983,Directed,10037,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4963,Directed,10038,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4982,Directed,10039,,,1,Inventory
10.3.32.16-entPhysicalTable-22,10.3.32.16-entPhysicalTable-4961,Directed,10040,,,1,Inventory
